digest,url,status
CYR4R4W5TTM4LDGVRROZH2KV3X5XVDIN,https://www.brookings.edu/articles/%E2%80%8Bminsk-is-not-working-but-kyiv-should-stay-with-it/,skipped (already exists)
EJS3ZQCMIPVSBFYDEFI47HQMF4DA4X2R,https://www.brookings.edu/articles/02-iran-around-brookings/,skipped (already exists)
56GHMI6SS2W2JH6VJBFABPI7FFQZR766,https://www.brookings.edu/articles/08-bank-capital-requirements-elliott/,download failed
DGBCFHJMPS5EIYKSRHXJCLMJLI2IJJDW,https://www.brookings.edu/articles/1-v-99-no-its-affluent-squeezed-and-entrenched-poverty/,success
QKUHAGCTY7DTLPNEWHSLJ62W5YA7FNDF,https://www.brookings.edu/articles/10-facts-about-american-women-in-the-workforce/,success
3BX46WTEKHYJ4CAMUUVWJCE7HEJYKUHH,https://www.brookings.edu/articles/10-facts-about-americas-eitc-eligible-tax-filers/,download failed
ECAONTQD54WHBTPEOTSJZEKTBCHIACZL,https://www.brookings.edu/articles/10-facts-about-child-well-being-and-health-in-america/,download failed
4QG7HAJ4POJZUPXIJ5JZ2LJMCPBCPQ5M,https://www.brookings.edu/articles/10-facts-about-social-security-and-retirement-saving/,download failed
YXC3QKLD6WBVVSAXGO6KFQWMAC22SC5T,https://www.brookings.edu/articles/10-facts-about-water-policy-and-infrastructure-in-the-us/,success
SMKWVQ3Q44W7ZL2QSN45CXDO35I7AEBT,https://www.brookings.edu/articles/10-new-innovations-that-could-change-the-world-2/,download failed
FRM2MZ3PHPR4VHUURKTT7QIZZU7DKAJO,https://www.brookings.edu/articles/10-new-innovations-that-could-change-the-world-2/,success
WZR6CAF4ATK5Z7BHZJFZXKEOLG6OQPTS,https://www.brookings.edu/articles/10-things-to-know-about-brazil-as-you-watch-the-world-cup/,download failed
ZSHI73AMLOZZ7ADEZWRAFZAHM6JF22LG,https://www.brookings.edu/articles/10-things-we-learned-at-brookings-in-august-2/,download failed
E5PWNKFN4N6CZ5JGZ45OMX42Y4WVZKTA,https://www.brookings.edu/articles/10-things-we-learned-at-brookings-in-august-5/,download failed
XHK3LG4LPE6F3BGSGP4BFWFBYAJHFDVK,https://www.brookings.edu/articles/10-things-we-learned-at-brookings-in-january/,success
R3A5HCFJELTKRTD7GC7GWBCNXL4YHCGX,https://www.brookings.edu/articles/10-things-we-learned-at-brookings-in-january-3/,download failed
RYXFOV7AMVMQUNNIMN6PZSH6C3OPPXYD,https://www.brookings.edu/articles/10-things-we-learned-at-brookings-in-july-3/,download failed
5WV6VQ2I6HHGDA7MS4NWEXRQWE33SCTY,https://www.brookings.edu/articles/10-things-we-learned-at-brookings-in-july-4/,success
44CJEDGWU7AMQZIISKR323AYL53ZTYRV,https://www.brookings.edu/articles/10-things-we-learned-at-brookings-in-march-2/,success
4PTJ7USD37NFTEIUJBFCKZZ6TALABI2G,https://www.brookings.edu/articles/10-things-we-learned-at-brookings-in-march-3/,download failed
5V3DA6PQO2U4TY4KNGJ6X5TAQD65EX24,https://www.brookings.edu/articles/10-things-we-learned-at-brookings-in-may/,download failed
IZKYFK35FCXNGZ25UQPX3YFBD5636AIC,https://www.brookings.edu/articles/10-things-we-learned-at-brookings-in-may-3/,download failed
CJO56BKXYX2N4UO5KL64KEQHOHPXIZSG,https://www.brookings.edu/articles/10-things-we-learned-at-brookings-in-may-5/,success
HWDY7EO2KNP2HGPQKXB6XOLESZFY724J,https://www.brookings.edu/articles/10-things-we-learned-at-brookings-in-november-2/,download failed
EYI7BAJOCSRVNAKWSOW5MWWV4XHYGRGB,https://www.brookings.edu/articles/10-things-we-learned-at-brookings-in-november-3/,success
KZKSMEGSDRBMMKW4KSCSEQLR6TPOSTLX,https://www.brookings.edu/articles/10-things-we-learned-at-brookings-in-october-5/,"error: HTTPSConnectionPool(host='data.commoncrawl.org', port=443): Read timed out."
SJ2DEA6DQYJQUQJGPKLESKCUCGPPWR6W,https://www.brookings.edu/articles/10-things-we-learned-at-brookings-in-september/,success
RHPZCYJCAAT5EQJ5B3HXRQXTSCJEI24A,https://www.brookings.edu/articles/10-years-after-the-financial-crisis-uneven-progress-and-some-structural-disconnects/,success
QLMC6MGNLQRJ6NRWYIQ73W5M6WSZEPUG,https://www.brookings.edu/articles/10-years-after-the-great-recession-why-arent-more-americans-working/,download failed
WEJBB3JTD33WHJTUDZCFV6EOV6XMVMKY,https://www.brookings.edu/articles/10-years-later-4-fiscal-policy-lessons-from-the-global-financial-crisis/,download failed
